,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
1321,0 days 20:00:00,2018-10-29,Target Center,Minnesota Timberwolves,3,4,Los Angeles Lakers,2,5,18978
1322,0 days 19:30:00,2018-10-29,Madison Square Garden (IV),New York Knicks,2,5,Brooklyn Nets,2,5,19221
1323,0 days 19:00:00,2018-10-29,Wells Fargo Center,Philadelphia 76ers,4,3,Atlanta Hawks,2,4,20269
1324,0 days 20:30:00,2018-10-29,AT&T Center,San Antonio Spurs,4,2,Dallas Mavericks,2,5,18354
1325,0 days 19:30:00,2018-10-30,TD Garden,Boston Celtics,5,2,Detroit Pistons,4,2,18624
1326,0 days 19:00:00,2018-10-30,Spectrum Center,Charlotte Hornets,4,4,Miami Heat,3,4,14117
1327,0 days 19:00:00,2018-10-30,Quicken Loans Arena,Cleveland Cavaliers,1,6,Atlanta Hawks,2,5,19432
1328,0 days 20:00:00,2018-10-30,Toyota Center,Houston Rockets,1,5,Portland Trail Blazers,5,2,18055
1329,0 days 20:00:00,2018-10-30,FedEx Forum,Memphis Grizzlies,4,2,Washington Wizards,1,6,14106
1330,0 days 20:00:00,2018-10-30,Chesapeake Energy Arena,Oklahoma City Thunder,2,4,Los Angeles Clippers,4,3,18203
1331,0 days 19:00:00,2018-10-30,Amway Center,Orlando Magic,2,5,Sacramento Kings,5,3,15074
1332,0 days 19:30:00,2018-10-30,Scotiabank Arena,Toronto Raptors,7,1,Philadelphia 76ers,4,4,19800
1333,0 days 19:30:00,2018-10-31,Barclays Center,Brooklyn Nets,3,5,Detroit Pistons,4,3,12862
1334,0 days 20:00:00,2018-10-31,United Center,Chicago Bulls,2,6,Denver Nuggets,6,1,19027
1335,0 days 22:30:00,2018-10-31,Oracle Arena,Golden State Warriors,8,1,New Orleans Pelicans,4,3,19596
1336,0 days 22:30:00,2018-10-31,STAPLES Center,Los Angeles Lakers,3,5,Dallas Mavericks,2,6,18997
1337,0 days 20:00:00,2018-10-31,Target Center,Minnesota Timberwolves,4,4,Utah Jazz,4,3,10079
1338,0 days 20:00:00,2018-10-31,Madison Square Garden (IV),New York Knicks,2,6,Indiana Pacers,5,3,18295
1339,0 days 22:30:00,2018-10-31,Talking Stick Resort Arena,Phoenix Suns,1,6,San Antonio Spurs,5,2,12328
1340,0 days 19:30:00,2018-11-01,State Farm Arena,Atlanta Hawks,2,6,Sacramento Kings,6,3,12095
1341,0 days 20:00:00,2018-11-01,TD Garden,Boston Celtics,6,2,Milwaukee Bucks,7,1,18624
1342,0 days 19:00:00,2018-11-01,Spectrum Center,Charlotte Hornets,4,5,Oklahoma City Thunder,3,4,14583
1343,0 days 19:00:00,2018-11-01,Quicken Loans Arena,Cleveland Cavaliers,1,7,Denver Nuggets,7,1,19432
1344,0 days 19:00:00,2018-11-01,Wells Fargo Center,Philadelphia 76ers,5,4,Los Angeles Clippers,4,4,20246
1345,0 days 22:30:00,2018-11-01,Moda Center,Portland Trail Blazers,6,2,New Orleans Pelicans,4,4,18921
1346,0 days 19:30:00,2018-11-02,Barclays Center,Brooklyn Nets,3,6,Houston Rockets,2,5,14013
1347,0 days 20:00:00,2018-11-02,United Center,Chicago Bulls,2,7,Indiana Pacers,6,3,19704
